specialty,hospital,age_group,waiting_over_12m,total_waiting,pct_over_12m
Plastic Surgery,Cork University Hospital,Child,29,193,15.0
Plastic Surgery,Galway University Hospitals,Adult,16,1681,1.0
Plastic Surgery,Galway University Hospitals,Child,2,105,1.9
Plastic Surgery,Mater Misericordiae University Hospital,Adult,830,1873,44.3
Plastic Surgery,Midland Regional Hospital Mullingar,Adult,0,22,0.0
Plastic Surgery,Our Lady of Lourdes Hospital Drogheda,Adult,41,597,6.9
Plastic Surgery,Roscommon University Hospital,Adult,2,2626,0.1
Plastic Surgery,South Infirmary Victoria University Hospital,Adult,1338,2956,45.3
Plastic Surgery,South Infirmary Victoria University Hospital,Child,70,126,55.6
Plastic Surgery,St. James's Hospital,Adult,77,941,8.2
Plastic Surgery,St. Michael's Hospital,Adult,0,26,0.0
Plastic Surgery,St. Vincent's University Hospital,Adult,115,1630,7.1
Plastic Surgery,Tallaght University Hospital,Adult,0,60,0.0
Plastic Surgery,University Hospital Kerry,Adult,0,50,0.0
Psychiatry,Beaumont Hospital,Adult,0,31,0.0
Psychiatry,Cork University Hospital,Adult,0,31,0.0
Psychiatry,Mater Misericordiae University Hospital,Adult,13,175,7.4
Psychiatry,St. James's Hospital,Adult,0,204,0.0
Radiology,Mater Misericordiae University Hospital,Adult,2,22,9.1
Radiotherapy,St. Vincent's University Hospital,Adult,0,26,0.0
Respiratory Medicine,Beaumont Hospital,Adult,75,2102,3.6
Respiratory Medicine,Cavan General Hospital,Adult,0,655,0.0
Respiratory Medicine,Connolly Hospital Blanchardstown,Adult,280,1525,18.4
Respiratory Medicine,Cork University Hospital,Adult,0,445,0.0
Respiratory Medicine,Galway University Hospitals,Adult,1971,3896,50.6
Respiratory Medicine,Letterkenny University Hospital,Adult,1,1453,0.1
Respiratory Medicine,Mallow General Hospital,Adult,3,585,0.5
Respiratory Medicine,Mater Misericordiae University Hospital,Adult,397,1671,23.8
Respiratory Medicine,Mayo University Hospital,Adult,70,870,8.0
Respiratory Medicine,Mercy University Hospital,Adult,94,691,13.6
Respiratory Medicine,Midland Regional Hospital Mullingar,Adult,0,32,0.0
Respiratory Medicine,Midland Regional Hospital Portlaoise,Adult,112,713,15.7
Respiratory Medicine,Midland Regional Hospital Tullamore,Adult,26,253,10.3
Respiratory Medicine,Naas General Hospital,Adult,9,171,5.3
Respiratory Medicine,Our Lady of Lourdes Hospital Drogheda,Adult,251,1103,22.8
Respiratory Medicine,Our Lady's Hospital Navan,Adult,1,420,0.2
Respiratory Medicine,Portiuncula University Hospital,Adult,102,535,19.1
Respiratory Medicine,Sligo University Hospital,Adult,33,681,4.8
Respiratory Medicine,St. James's Hospital,Adult,265,1516,17.5
Respiratory Medicine,St. Luke's General Hospital Kilkenny,Adult,492,1210,40.7
Respiratory Medicine,St. Michael's Hospital,Adult,0,22,0.0
