specialty,hospital,age_group,waiting_over_12m,total_waiting,pct_over_12m
Dermatology,Midland Regional Hospital Tullamore,Adult,418,1024,40.8
Dermatology,Naas General Hospital,Adult,1642,4513,36.4
Dermatology,Our Lady of Lourdes Hospital Drogheda,Adult,1691,5500,30.7
Dermatology,Portiuncula University Hospital,Adult,1,260,0.4
Dermatology,Portiuncula University Hospital,Child,7,111,6.3
Dermatology,Sligo University Hospital,Adult,1365,2560,53.3
Dermatology,Sligo University Hospital,Child,304,449,67.7
Dermatology,South Infirmary Victoria University Hospital,Adult,711,5512,12.9
Dermatology,South Infirmary Victoria University Hospital,Child,4,234,1.7
Dermatology,St. James's Hospital,Adult,1,1688,0.1
Dermatology,St. Michael's Hospital,Adult,326,769,42.4
Dermatology,St. Vincent's University Hospital,Adult,778,3810,20.4
Dermatology,Tallaght University Hospital,Adult,775,4315,18.0
Dermatology,University Hospital Kerry,Adult,568,1672,34.0
Dermatology,University Hospital Kerry,Child,101,176,57.4
Dermatology,University Hospital Limerick,Adult,967,4266,22.7
Dermatology,University Hospital Limerick,Child,222,772,28.8
Dermatology,University Hospital Waterford,Adult,2747,6775,40.5
Dermatology,University Hospital Waterford,Child,242,611,39.6
Developmental Paediatrics,Children's Health Ireland,Child,1,334,0.3
Developmental Paediatrics,Cork University Hospital,Child,0,312,0.0
Developmental Paediatrics,Midland Regional Hospital Portlaoise,Child,23,61,37.7
Diabetes Mellitus,Connolly Hospital Blanchardstown,Adult,3,191,1.6
Diabetes Mellitus,Cork University Hospital,Adult,66,541,12.2
Diabetes Mellitus,Louth County Hospital,Adult,0,232,0.0
Diabetes Mellitus,Midland Regional Hospital Portlaoise,Adult,0,119,0.0
Diabetes Mellitus,Portiuncula University Hospital,Adult,0,33,0.0
Diabetes Mellitus,Roscommon University Hospital,Adult,0,32,0.0
Diabetes Mellitus,St. Columcille's Hospital,Adult,4,107,3.7
Diabetes Mellitus,St. James's Hospital,Adult,0,178,0.0
Diabetes Mellitus,St. Luke's General Hospital Kilkenny,Adult,0,79,0.0
Diabetes Mellitus,St. Michael's Hospital,Adult,15,83,18.1
Diabetes Mellitus,University Hospital Kerry,Adult,0,127,0.0
Endocrinology,Beaumont Hospital,Adult,22,1783,1.2
Endocrinology,Cavan General Hospital,Adult,0,231,0.0
Endocrinology,Connolly Hospital Blanchardstown,Adult,116,953,12.2
Endocrinology,Coombe Women and Infants University Hospital,Adult,0,62,0.0
Endocrinology,Cork University Hospital,Adult,85,857,9.9
Endocrinology,Galway University Hospitals,Adult,140,1119,12.5
Endocrinology,Letterkenny University Hospital,Adult,0,268,0.0
Endocrinology,Mallow General Hospital,Adult,92,247,37.2
Endocrinology,Mater Misericordiae University Hospital,Adult,44,707,6.2
Endocrinology,Midland Regional Hospital Mullingar,Adult,121,309,39.2
Endocrinology,Midland Regional Hospital Portlaoise,Adult,75,309,24.3
Endocrinology,Midland Regional Hospital Tullamore,Adult,113,329,34.3
Endocrinology,Our Lady of Lourdes Hospital Drogheda,Adult,79,891,8.9
Endocrinology,Our Lady's Hospital Navan,Adult,72,601,12.0
Endocrinology,Portiuncula University Hospital,Adult,0,103,0.0
Endocrinology,Roscommon University Hospital,Adult,0,47,0.0
Endocrinology,Sligo University Hospital,Adult,74,531,13.9
Endocrinology,South Infirmary Victoria University Hospital,Adult,268,447,60.0
Endocrinology,St. Columcille's Hospital,Adult,6938,9032,76.8
Endocrinology,St. James's Hospital,Adult,0,464,0.0
Endocrinology,St. Luke's General Hospital Kilkenny,Adult,0,54,0.0
Endocrinology,St. Michael's Hospital,Adult,57,193,29.5
Endocrinology,St. Vincent's University Hospital,Adult,277,1022,27.1
Endocrinology,Tallaght University Hospital,Adult,1,410,0.2
Endocrinology,Tipperary University Hospital,Adult,53,209,25.4
Endocrinology,University Hospital Kerry,Adult,57,402,14.2
Endocrinology,University Hospital Limerick,Adult,529,1415,37.4
Endocrinology,University Hospital Waterford,Adult,247,930,26.6
Endocrinology,Wexford General Hospital,Adult,0,39,0.0
Gastro-Enterology,Bantry General Hospital,Adult,0,223,0.0
Gastro-Enterology,Beaumont Hospital,Adult,364,2129,17.1
Gastro-Enterology,Cavan General Hospital,Adult,6,472,1.3
Gastro-Enterology,Connolly Hospital Blanchardstown,Adult,0,256,0.0
Gastro-Enterology,Cork University Hospital,Adult,202,1613,12.5
Gastro-Enterology,Galway University Hospitals,Adult,180,1618,11.1
Gastro-Enterology,Letterkenny University Hospital,Adult,318,1154,27.6
Gastro-Enterology,Mallow General Hospital,Adult,88,359,24.5
Gastro-Enterology,Mater Misericordiae University Hospital,Adult,61,1428,4.3
Gastro-Enterology,Mayo University Hospital,Adult,1,143,0.7
Gastro-Enterology,Mercy University Hospital,Adult,59,569,10.4
Gastro-Enterology,Midland Regional Hospital Portlaoise,Adult,0,116,0.0
Gastro-Enterology,Midland Regional Hospital Tullamore,Adult,233,1025,22.7
Gastro-Enterology,Our Lady of Lourdes Hospital Drogheda,Adult,49,807,6.1
Gastro-Enterology,Our Lady's Hospital Navan,Adult,49,831,5.9
Gastro-Enterology,Roscommon University Hospital,Adult,0,91,0.0
Gastro-Enterology,Sligo University Hospital,Adult,34,480,7.1
Gastro-Enterology,St. Columcille's Hospital,Adult,0,62,0.0
Gastro-Enterology,St. James's Hospital,Adult,251,1881,13.3
Gastro-Enterology,St. Luke's General Hospital Kilkenny,Adult,46,687,6.7
Gastro-Enterology,St. Michael's Hospital,Adult,15,836,1.8
Gastro-Enterology,St. Vincent's University Hospital,Adult,64,1186,5.4
Gastro-Enterology,Tallaght University Hospital,Adult,44,883,5.0
Gastro-Enterology,Tipperary University Hospital,Adult,55,513,10.7
Gastro-Enterology,University Hospital Kerry,Adult,2,216,0.9
Gastro-Enterology,University Hospital Limerick,Adult,117,1591,7.4
Gastro-Enterology,University Hospital Waterford,Adult,77,1304,5.9
Gastro-Intestinal Surgery,Mercy University Hospital,Adult,12,250,4.8
Gastro-Intestinal Surgery,University Hospital Waterford,Adult,127,1299,9.8
General Medicine,Bantry General Hospital,Adult,0,81,0.0
General Medicine,Cavan General Hospital,Adult,0,256,0.0
General Medicine,Letterkenny University Hospital,Adult,2,268,0.7
General Medicine,Mallow General Hospital,Adult,0,149,0.0
General Medicine,Mater Misericordiae University Hospital,Adult,0,32,0.0
General Medicine,Mayo University Hospital,Adult,104,978,10.6
General Medicine,Midland Regional Hospital Mullingar,Adult,906,3681,24.6
General Medicine,Midland Regional Hospital Portlaoise,Adult,0,35,0.0
General Medicine,Midland Regional Hospital Tullamore,Adult,11,159,6.9
General Medicine,Naas General Hospital,Adult,765,3165,24.2
General Medicine,Portiuncula University Hospital,Adult,1,128,0.8
General Medicine,Roscommon University Hospital,Adult,0,396,0.0
General Medicine,Sligo University Hospital,Adult,13,171,7.6
General Medicine,St. James's Hospital,Adult,379,1305,29.0
General Medicine,St. Luke's General Hospital Kilkenny,Adult,14,178,7.9
General Medicine,Tipperary University Hospital,Adult,139,504,27.6
General Medicine,University Hospital Kerry,Adult,32,260,12.3
General Medicine,University Hospital Limerick,Adult,0,87,0.0
General Medicine,Wexford General Hospital,Adult,231,1557,14.8
General Surgery,Bantry General Hospital,Adult,0,271,0.0
General Surgery,Beaumont Hospital,Adult,0,537,0.0
General Surgery,Cavan General Hospital,Adult,0,626,0.0
General Surgery,Connolly Hospital Blanchardstown,Adult,0,679,0.0
General Surgery,Cork University Hospital,Adult,57,724,7.9
General Surgery,Cork University Hospital,Child,50,162,30.9
General Surgery,Galway University Hospitals,Adult,32,1634,2.0
General Surgery,Galway University Hospitals,Child,0,35,0.0
General Surgery,Letterkenny University Hospital,Adult,15,1030,1.5
General Surgery,Letterkenny University Hospital,Child,0,32,0.0
General Surgery,Louth County Hospital,Adult,0,339,0.0
General Surgery,Mallow General Hospital,Adult,0,652,0.0
General Surgery,Mater Misericordiae University Hospital,Adult,142,2046,6.9
General Surgery,Mayo University Hospital,Adult,1,568,0.2
General Surgery,Mayo University Hospital,Child,4,76,5.3
General Surgery,Mercy University Hospital,Adult,91,759,12.0
General Surgery,Midland Regional Hospital Mullingar,Adult,48,1403,3.4
General Surgery,Midland Regional Hospital Mullingar,Child,12,191,6.3
General Surgery,Midland Regional Hospital Portlaoise,Adult,25,763,3.3
General Surgery,Midland Regional Hospital Portlaoise,Child,1,57,1.8
General Surgery,Midland Regional Hospital Tullamore,Adult,0,476,0.0
General Surgery,Naas General Hospital,Adult,0,620,0.0
General Surgery,Our Lady of Lourdes Hospital Drogheda,Adult,4,573,0.7
General Surgery,Our Lady's Hospital Navan,Adult,0,454,0.0
General Surgery,Portiuncula University Hospital,Adult,1,311,0.3
General Surgery,Portiuncula University Hospital,Child,0,40,0.0
General Surgery,Roscommon University Hospital,Adult,2,236,0.8
General Surgery,Sligo University Hospital,Adult,1,921,0.1
General Surgery,Sligo University Hospital,Child,0,44,0.0
General Surgery,South Infirmary Victoria University Hospital,Adult,220,1155,19.0
General Surgery,South Infirmary Victoria University Hospital,Child,11,47,23.4
General Surgery,St. Columcille's Hospital,Adult,0,29,0.0
General Surgery,St. James's Hospital,Adult,23,3271,0.7
General Surgery,St. Luke's General Hospital Kilkenny,Adult,14,788,1.8
General Surgery,St. Michael's Hospital,Adult,0,188,0.0
General Surgery,St. Vincent's University Hospital,Adult,22,2911,0.8
General Surgery,Tallaght University Hospital,Adult,36,1820,2.0
General Surgery,Tipperary University Hospital,Adult,4,932,0.4
General Surgery,Tipperary University Hospital,Child,2,116,1.7
General Surgery,University Hospital Kerry,Adult,0,1568,0.0
General Surgery,University Hospital Kerry,Child,0,49,0.0
General Surgery,University Hospital Limerick,Adult,41,1779,2.3
General Surgery,University Hospital Waterford,Adult,6,395,1.5
General Surgery,University Hospital Waterford,Child,0,22,0.0
General Surgery,Wexford General Hospital,Adult,2,1394,0.1
General Surgery,Wexford General Hospital,Child,0,46,0.0
Geriatric Medicine,Bantry General Hospital,Adult,8,45,17.8
Geriatric Medicine,Beaumont Hospital,Adult,0,715,0.0
Geriatric Medicine,Connolly Hospital Blanchardstown,Adult,12,346,3.5
Geriatric Medicine,Cork University Hospital,Adult,0,159,0.0
Geriatric Medicine,Galway University Hospitals,Adult,0,24,0.0
Geriatric Medicine,Letterkenny University Hospital,Adult,12,237,5.1
Geriatric Medicine,Mallow General Hospital,Adult,48,244,19.7
Geriatric Medicine,Mater Misericordiae University Hospital,Adult,0,201,0.0
Geriatric Medicine,Mercy University Hospital,Adult,0,36,0.0
Geriatric Medicine,Midland Regional Hospital Tullamore,Adult,0,220,0.0
Geriatric Medicine,Naas General Hospital,Adult,46,160,28.8
Geriatric Medicine,Our Lady's Hospital Navan,Adult,0,245,0.0
Geriatric Medicine,Roscommon University Hospital,Adult,0,150,0.0
Geriatric Medicine,St. Columcille's Hospital,Adult,1,304,0.3
Geriatric Medicine,St. James's Hospital,Adult,0,322,0.0
Geriatric Medicine,St. Vincent's University Hospital,Adult,28,842,3.3
Geriatric Medicine,Tallaght University Hospital,Adult,0,512,0.0
Geriatric Medicine,University Hospital Kerry,Adult,6,108,5.6
Geriatric Medicine,University Hospital Limerick,Adult,0,38,0.0
Geriatric Medicine,University Hospital Waterford,Adult,1,196,0.5
Geriatric Medicine,Wexford General Hospital,Adult,0,152,0.0
Gynaecology,Beaumont Hospital,Adult,14,359,3.9
Gynaecology,Cavan General Hospital,Adult,0,1005,0.0
Gynaecology,Children's Health Ireland,Child,27,294,9.2
Gynaecology,Connolly Hospital Blanchardstown,Adult,0,170,0.0
Gynaecology,Coombe Women and Infants University Hospital,Adult,105,3708,2.8
Gynaecology,Coombe Women and Infants University Hospital,Child,0,35,0.0
